time,3336A,3336B,3336C,3336D,3346A,3346B,3346C,3346D,3354A,3354B,3354C,3354D,3356A,3356B,3356C,3356D
01-Oct-18 12:00:00 AM EDT,19.34,44.46,51.94,30.86,19.23,21.7,36.8,19.22,38.95,57.07,21.36,34.56,18.04,44.52,25.86,20.04
01-Oct-18 12:30:00 AM EDT,19.67,44.89,51.94,31.38,19.23,21.7,36.8,19.43,38.95,57.07,21.31,37.86,17.77,43.99,25.86,20.04
01-Oct-18 1:00:00 AM EDT,19.45,44.73,51.94,30.91,19.08,21.7,36.8,19.16,38.95,57.07,21.31,37.86,17.93,43.88,25.86,20.04
01-Oct-18 1:30:00 AM EDT,19.61,44.78,51.94,31.23,19.08,21.7,36.8,19.38,38.95,57.07,21.31,37.86,17.72,44.36,25.86,20.04
01-Oct-18 2:00:00 AM EDT,19.67,44.25,51.94,30.97,19.08,21.7,36.8,19.38,38.95,57.07,21.26,37.86,17.12,44.47,25.86,20.25
01-Oct-18 2:30:00 AM EDT,19.56,44.62,51.94,31.38,19.08,21.7,36.8,19.38,38.95,57.07,21.05,37.86,17.5,43.62,25.86,20.25
01-Oct-18 3:00:00 AM EDT,19.67,44.89,51.94,30.03,19.23,21.7,36.8,19.38,38.95,57.07,21.31,37.86,17.29,44.79,25.86,20.04
01-Oct-18 3:30:00 AM EDT,19.56,44.89,51.94,31.38,19.23,21.7,36.8,19.38,38.95,57.07,21.26,37.86,17.66,44.36,25.86,20.04
01-Oct-18 4:00:00 AM EDT,19.67,44.57,51.94,30.76,19.23,21.7,36.8,19.38,38.95,57.07,21.26,37.86,17.5,44.68,26.13,20.25
01-Oct-18 4:30:00 AM EDT,19.23,44.73,51.94,30.6,19.08,21.7,36.8,19.38,38.95,57.07,21.21,37.86,17.88,43.94,25.86,20.04
01-Oct-18 5:00:00 AM EDT,19.72,44.41,51.94,31.38,19.23,21.7,36.8,19.16,38.95,57.07,20.95,37.86,17.66,43.94,25.86,20.04
01-Oct-18 5:30:00 AM EDT,19.61,44.95,51.94,31.33,19.23,21.7,36.8,19.22,38.95,57.07,21.31,37.86,18.04,43.94,25.86,20.04
01-Oct-18 6:00:00 AM EDT,19.45,43.92,51.94,30.97,19.23,21.7,36.8,19.22,38.95,57.07,20.54,37.86,17.77,43.94,25.86,20.04
01-Oct-18 6:30:00 AM EDT,19.67,44.73,51.94,31.49,19.28,21.7,36.8,19.22,38.95,57.07,20.59,37.86,17.82,44.63,25.86,20.25
01-Oct-18 7:00:00 AM EDT,19.67,44.52,51.94,31.49,19.08,21.7,36.8,19.38,38.95,57.07,21.26,37.86,17.56,43.72,25.86,20.25
